rates >>>,business $,0.545,medical $,0.18,charity $,0.14,moving $,0.18

SUMMARY

VEHICLE,ODOMETER (START OF YEAR),BUSINESS,COMMUTE,PERSONAL (OTHER),UNCLASSIFIED,TOTAL DISTANCE,BUSINESS VALUE IN $,PARKING IN $,TOLLS IN $,TOTAL VALUE IN $,MEDICAL,MOVING,CHARITY
Sonata,116803,1466.9,0.0,490.1,104.7,2061.7,"=ROUND(PRODUCT(C6, C1), 2)",0.00,0.00,"=ROUND(SUM(H6, I6, J6), 2)",0.0,0.0,0.0
,TOTALS,=SUM(C6:C6),=SUM(D6:D6),=SUM(E6:E6),=SUM(F6:F6),=SUM(G6:G6),=SUM(H6:H6),=SUM(I6:I6),=SUM(J6:J6),=SUM(K6:K6),=SUM(L6:L6),=SUM(M6:M6),=SUM(N6:N6)

DETAILED LOG

START_DATE*,END_DATE*,CATEGORY*,START*,STOP*,MILES*,MILES_VALUE,PARKING,TOLLS,TOTAL,VEHICLE,PURPOSE,NOTES
07/06/2018 19:47,07/06/2018 20:15,Business,Maggy McFly,Virginia Beach VA,8.3,"=ROUND(PRODUCT(F45, C1), 2)",0.00,0.00,"=ROUND(SUM(G45, H45, I45), 2)",Sonata,Business,
07/06/2018 20:19,07/06/2018 20:25,Business,Virginia Beach VA,North Central Virginia Beach VA,1.3,"=ROUND(PRODUCT(F46, C1), 2)",0.00,0.00,"=ROUND(SUM(G46, H46, I46), 2)",Sonata,Business,
07/06/2018 20:28,07/06/2018 21:11,Business,North Central Virginia Beach VA,SGC,12.3,"=ROUND(PRODUCT(F47, C1), 2)",0.00,0.00,"=ROUND(SUM(G47, H47, I47), 2)",Sonata,Business,
07/07/2018 12:11,07/07/2018 12:28,Personal,SGC,Virginia Beach VA,6.4,"=ROUND(PRODUCT(F48, 0), 2)",0.00,0.00,"=ROUND(SUM(G48, H48, I48), 2)",Sonata,Personal,
07/07/2018 12:41,07/07/2018 14:30,Business,Virginia Beach VA,Norfolk VA,16.8,"=ROUND(PRODUCT(F49, C1), 2)",0.00,0.00,"=ROUND(SUM(G49, H49, I49), 2)",Sonata,Business,
07/07/2018 14:53,07/07/2018 15:46,Business,Norfolk VA,Hampton VA,30.5,"=ROUND(PRODUCT(F50, C1), 2)",0.00,0.00,"=ROUND(SUM(G50, H50, I50), 2)",Sonata,Business,
07/07/2018 15:59,07/07/2018 16:04,Business,Colliseum Central Hampton VA,Colliseum Central Hampton VA,1.0,"=ROUND(PRODUCT(F51, C1), 2)",0.00,0.00,"=ROUND(SUM(G51, H51, I51), 2)",Sonata,Business,
07/07/2018 16:10,07/07/2018 17:08,Business,Hampton VA,SGC,35.0,"=ROUND(PRODUCT(F52, C1), 2)",0.00,0.00,"=ROUND(SUM(G52, H52, I52), 2)",Sonata,Business,
07/08/2018 17:23,07/08/2018 17:37,Business,SGC,Town Center,5.1,"=ROUND(PRODUCT(F53, C1), 2)",0.00,0.00,"=ROUND(SUM(G53, H53, I53), 2)",Sonata,Business,
07/08/2018 17:43,07/08/2018 17:52,Business,Town Center,North Central Virginia Beach VA,1.4,"=ROUND(PRODUCT(F54, C1), 2)",0.00,0.00,"=ROUND(SUM(G54, H54, I54), 2)",Sonata,Business,
07/08/2018 18:00,07/08/2018 18:09,Business,North Central Virginia Beach VA,Virginia Beach VA,2.7,"=ROUND(PRODUCT(F55, C1), 2)",0.00,0.00,"=ROUND(SUM(G55, H55, I55), 2)",Sonata,Business,
07/08/2018 18:11,07/08/2018 18:20,Business,Virginia Beach VA,Town Center,2.3,"=ROUND(PRODUCT(F56, C1), 2)",0.00,0.00,"=ROUND(SUM(G56, H56, I56), 2)",Sonata,Business,
07/08/2018 18:24,07/08/2018 18:40,Business,Town Center,Virginia Beach VA,3.0,"=ROUND(PRODUCT(F57, C1), 2)",0.00,0.00,"=ROUND(SUM(G57, H57, I57), 2)",Sonata,Business,
07/08/2018 18:58,07/08/2018 19:15,Business,Virginia Beach VA,Town Center,3.4,"=ROUND(PRODUCT(F58, C1), 2)",0.00,0.00,"=ROUND(SUM(G58, H58, I58), 2)",Sonata,Business,
07/08/2018 19:39,07/08/2018 20:07,Business,Town Center,Virginia Beach VA,9.0,"=ROUND(PRODUCT(F59, C1), 2)",0.00,0.00,"=ROUND(SUM(G59, H59, I59), 2)",Sonata,Business,
07/08/2018 20:08,07/08/2018 20:27,Business,Virginia Beach VA,SGC,4.9,"=ROUND(PRODUCT(F60, C1), 2)",0.00,0.00,"=ROUND(SUM(G60, H60, I60), 2)",Sonata,Business,
07/09/2018 11:12,07/09/2018 11:22,Personal,SGC,North Central Virginia Beach VA,2.7,"=ROUND(PRODUCT(F61, 0), 2)",0.00,0.00,"=ROUND(SUM(G61, H61, I61), 2)",Sonata,Personal,
